iter	Logloss
0	0.6873856204
1	0.6820420177
2	0.6762963615
3	0.6704038096
4	0.6672068273
5	0.6617561511
6	0.6566587313
7	0.6515610007
8	0.6482858079
9	0.643750405
10	0.6389894905
11	0.6358176493
12	0.6313275409
13	0.6274215395
14	0.6232086012
15	0.6207156892
16	0.6169401993
17	0.6131089728
18	0.6104539503
19	0.6069480088
20	0.6033037158
21	0.6003044943
22	0.5970733987
23	0.5947008521
24	0.5926854023
25	0.5897140336
26	0.5863394202
27	0.5825856874
28	0.5807218453
29	0.5773799899
30	0.5741618802
31	0.5714888797
32	0.5683602178
33	0.5665044735
34	0.5646046885
35	0.561661344
36	0.5598572355
37	0.5580837412
38	0.556677059
39	0.5538906641
40	0.5511973487
41	0.5481338354
42	0.5464622579
43	0.5440191225
44	0.5423651635
45	0.5399078127
46	0.5379395516
47	0.5357766691
48	0.5346711159
49	0.5327876667
50	0.5315547218
51	0.5297736552
52	0.5275876088
53	0.5256424861
54	0.5237668535
55	0.5221212872
56	0.5198103894
57	0.5182596862
58	0.5173418168
59	0.5154100853
60	0.5132806703
61	0.5114184453
62	0.5097268992
63	0.5080782539
64	0.5052338491
65	0.5045073309
66	0.5035797558
67	0.5021972945
68	0.5005453381
69	0.4988378037
70	0.4974945642
71	0.496305263
72	0.4949507002
73	0.4937394822
74	0.492493686
75	0.4920596207
76	0.4907047731
77	0.4899431346
78	0.4893965325
79	0.4886255449
80	0.4872961398
81	0.4858244484
82	0.4852385544
83	0.4841581925
84	0.4834450898
85	0.4828356738
86	0.4825002222
87	0.48185909
88	0.4808490912
89	0.479534016
90	0.4779321764
91	0.4766595522
92	0.4757473072
93	0.474503309
94	0.4740043642
95	0.4734687801
96	0.4726798354
97	0.4717025204
98	0.4711744364
99	0.4701423647
100	0.4697873087
101	0.4695793116
102	0.468647884
103	0.4678947563
104	0.4675646961
105	0.4666614699
106	0.4663466492
107	0.4655141715
108	0.4649198317
109	0.4646258775
110	0.4636367327
111	0.4633559401
112	0.4624249759
113	0.4621002002
114	0.4613708167
115	0.460825433
116	0.4605701104
117	0.4602583179
118	0.4597128067
119	0.4594736017
120	0.4594101589
121	0.4590544749
122	0.4583447153
123	0.457738272
124	0.4573375501
125	0.4570842824
126	0.4567521354
127	0.4564272758
128	0.4558010829
129	0.4545197738
130	0.4543262282
131	0.4534113071
132	0.4524782928
133	0.4523452478
134	0.4517950425
135	0.4512624747
136	0.4508226691
137	0.4497760222
138	0.4494083931
139	0.4488598196
140	0.4485813476
141	0.4483580717
142	0.4482394746
143	0.4481147096
144	0.447885148
145	0.4472088435
146	0.4468833682
147	0.446596684
148	0.4459073206
149	0.4449557754
