iter	Passed	Remaining
0	10	1543
1	19	1476
2	31	1520
3	41	1498
4	48	1412
5	58	1414
6	68	1403
7	80	1423
8	89	1402
9	99	1399
10	109	1385
11	119	1373
12	129	1369
13	140	1364
14	150	1355
15	159	1338
16	170	1332
17	181	1328
18	192	1324
19	202	1313
20	211	1300
21	220	1281
22	229	1266
23	237	1249
24	247	1237
25	257	1228
26	267	1217
27	279	1216
28	288	1203
29	299	1199
30	310	1190
31	318	1175
32	339	1204
33	349	1192
34	361	1187
35	371	1177
36	381	1166
37	392	1157
38	402	1145
39	413	1136
40	423	1126
41	434	1117
42	444	1105
43	455	1096
44	467	1090
45	478	1081
46	487	1067
47	499	1060
48	507	1045
49	517	1035
50	527	1024
51	535	1009
52	547	1001
53	556	990
54	566	979
55	576	967
56	586	956
57	595	945
58	604	932
59	615	922
60	624	910
61	635	901
62	644	890
63	655	881
64	665	870
65	673	857
66	682	845
67	692	835
68	702	824
69	713	815
70	723	804
71	733	794
72	744	784
73	753	774
74	766	766
75	774	754
76	785	745
77	795	733
78	805	724
79	815	713
80	826	703
81	835	693
82	848	684
83	866	680
84	875	669
85	886	659
86	896	649
87	906	638
88	916	628
89	927	618
90	937	607
91	948	597
92	957	587
93	969	577
94	977	565
95	987	555
96	998	545
97	1007	534
98	1018	524
99	1028	514
100	1035	502
101	1042	490
102	1052	480
103	1062	470
104	1070	458
105	1080	448
106	1087	437
107	1097	426
108	1107	416
109	1115	405
110	1125	395
111	1132	384
112	1143	374
113	1151	363
114	1161	353
115	1169	342
116	1177	332
117	1187	321
118	1197	312
119	1204	301
120	1213	290
121	1222	280
122	1232	270
123	1242	260
124	1253	250
125	1262	240
126	1272	230
127	1282	220
128	1297	211
129	1307	201
130	1317	191
131	1328	181
132	1338	171
133	1346	160
134	1356	150
135	1366	140
136	1388	131
137	1398	121
138	1409	111
139	1419	101
140	1430	91
141	1438	81
142	1447	70
143	1456	60
144	1466	50
145	1477	40
146	1488	30
147	1498	20
148	1508	10
149	1519	0
